Variable,Id,Variable Group,Study,Study Id
Bostedsfylke vasket mot Folkeregisteret,PASFYLKE2,Pasient,PHV,PHV
Bostedsregion vasket mot Folkeregisteret,PAS_REG2,Pasient,PHV,PHV
Rapportert fødselsnummer,FODSELSNUMMER,Pasient,PHV,PHV
Samlivsstatus,SAMLIVSTATUS,Pasient,PHV,PHV
Samtykkekompetanse,SAMTYKKEKOMPETANSE,Pasient,PHV,PHV
Alder,ALDER,Pasient,PHV,PHV
Bor pasienten alene,PASIENTBORALENE,Pasient,PHV,PHV
Bydelskode,BYDEL,Pasient,PHV,PHV
Folkeregisterkommune,KOMNRHJEM,Pasient,PHV,PHV
Fødselsår,FODSELSAR,Pasient,PHV,PHV
Individuell plan status,INDIVIDUELLPLAN,Pasient,PHV,PHV
Individuell plan status dato,INDIVIDUELLPLANDATO,Pasient,PHV,PHV
Kjønn,KJONN,Pasient,PHV,PHV
Omsorg for egne barn,EGNEBARN,Pasient,PHV,PHV
Rolle i forhold til individuell plan,ROLLEIP,Pasient,PHV,PHV
Status for kobling mot ident-melding,NPRID_REG,Pasient,PHV,PHV
Trygdenasjon,TRYGDENASJON,Pasient,PHV,PHV
Ansiennitetsdato,ANSIENDATO,Henvisning,PHV,PHV
Fagområde,FAGOMRADE,Henvisning,PHV,PHV
Frist for nødvendig helsehjelp,FRISTSTARTBEHANDLING,Henvisning,PHV,PHV
Fritt sykehusvalg,FRITTSYKEHUSVALG,Henvisning,PHV,PHV
Henvisningsformalitet,HENVFORMAL,Henvisning,PHV,PHV
Henvisningstype,HENVTYPE,Henvisning,PHV,PHV
Henvist fra helseinstitusjon,HENVFRAINSTITUSJONID,Henvisning,PHV,PHV
Henvist fra HPR,HENVFRAHPR,Henvisning,PHV,PHV
Henvist fra tjeneste,HENVFRATJENESTE,Henvisning,PHV,PHV
Henvist til helseinstitusjon,HENVTILINSTITUSJONID,Henvisning,PHV,PHV
Henvist til HPR,HENVTILHPR,Henvisning,PHV,PHV
Henvist til tjeneste,HENVTILTJENESTE,Henvisning,PHV,PHV
Mottaksdato,MOTTAKSDATO,Henvisning,PHV,PHV
Ny Tilstand,NYTILSTAND,Henvisning,PHV,PHV
Omsorgsnivå,OMSNIVAHENV,Henvisning,PHV,PHV
