Variable,Id,Variable Group,Study,Study Id
Bydelskode,BYDEL,Pasient,SOMATIKK,SOMATIKK
Folkeregisterkommune,KOMNRHJEM,Pasient,SOMATIKK,SOMATIKK
Alder,ALDER,Pasient,SOMATIKK,SOMATIKK
Alder i dager,ALDERIDAGER,Pasient,SOMATIKK,SOMATIKK
Fødselsvekt,FODSELSVEKT,Pasient,SOMATIKK,SOMATIKK
Fødselsår,FODSELSAR,Pasient,SOMATIKK,SOMATIKK
Født måned,FODT_MND,Pasient,SOMATIKK,SOMATIKK
Individuell plan status,INDIVIDUELLPLAN,Pasient,SOMATIKK,SOMATIKK
Individuell plan status dato,INDIVIDUELLPLANDATO,Pasient,SOMATIKK,SOMATIKK
Kjønn,KJONN,Pasient,SOMATIKK,SOMATIKK
Pasientens bostedsfylke,PASFYLKE,Pasient,SOMATIKK,SOMATIKK
Pasientens bostedsregion,PAS_REG,Pasient,SOMATIKK,SOMATIKK
Rapportert fødselsnummer,FODSELSNUMMER,Pasient,SOMATIKK,SOMATIKK
Samtykkekompetanse,SAMTYKKEKOMPETANSE,Pasient,SOMATIKK,SOMATIKK
Status for kobling mot ident-melding,NPRID_REG,Pasient,SOMATIKK,SOMATIKK
Trygdenasjon,TRYGDENASJON,Pasient,SOMATIKK,SOMATIKK
Ansiennitetsdato,ANSIENDATO,Henvisning,SOMATIKK,SOMATIKK
Fagområde,FAGOMRADE,Henvisning,SOMATIKK,SOMATIKK
Frist for nødvendig helsehjelp,FRISTSTARTBEHANDLING,Henvisning,SOMATIKK,SOMATIKK
Fritt behandlingsvalg,FRITTBEHANDLINGSVALG,Henvisning,SOMATIKK,SOMATIKK
Fritt behandlingsvalg tjeneste,FBVTJENESTEHENVISNING,Henvisning,SOMATIKK,SOMATIKK
Fritt sykehusvalg,FRITTSYKEHUSVALG,Henvisning,SOMATIKK,SOMATIKK
Henvisningstype,HENVTYPE,Henvisning,SOMATIKK,SOMATIKK
